protein_accession	gene_id	evalue	description
XP_021305153.1	8065361	4.9e-51	mediator of RNA polymerase II transcription subunit 13 [Sorghum bicolor]
XP_021313812.1	8072442	9.4e-12	uncharacterized protein LOC8072442 isoform X2 [Sorghum bicolor]
XP_021313811.1	8072442	9.1e-11	uncharacterized protein LOC8072442 isoform X1 [Sorghum bicolor]
XP_021304124.1	8067495	2e-09	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor]
XP_021304125.1	8067495	2e-09	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor]
XP_021305213.1	110431029	2.3e-09	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor]
XP_021305214.1	110431029	2.3e-09	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor]
XP_002457348.1	8060782	4.7e-09	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor]
XP_002445722.2	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321075.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321076.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321077.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321078.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321079.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021321080.1	8057837	0.13	uncharacterized protein LOC8057837 [Sorghum bicolor]
XP_021313127.1	8078103	0.15	activating signal cointegrator 1 complex subunit 1 isoform X6 [Sorghum bicolor]
XP_002439097.1	8065282	0.25	polygalacturonase inhibitor [Sorghum bicolor]
XP_021313125.1	8078103	0.27	activating signal cointegrator 1 complex subunit 1 isoform X4 [Sorghum bicolor]
XP_021313124.1	8078103	0.27	activating signal cointegrator 1 complex subunit 1 isoform X3 [Sorghum bicolor]
XP_021313123.1	8078103	0.28	activating signal cointegrator 1 complex subunit 1 isoform X2 [Sorghum bicolor]
XP_021313122.1	8078103	0.3	activating signal cointegrator 1 complex subunit 1 isoform X1 [Sorghum bicolor]
XP_002452311.1	8068924	1.2	uncharacterized protein LOC8068924 [Sorghum bicolor]
XP_002449032.1	8070660	1.6	transcription factor LHW isoform X1 [Sorghum bicolor]
XP_021317175.1	8070660	1.7	transcription factor LHW isoform X2 [Sorghum bicolor]
XP_021313932.1	8073905	1.8	RING-H2 finger protein ATL72 [Sorghum bicolor]
XP_002442477.1	8076648	1.9	auxin-responsive protein IAA31 [Sorghum bicolor]
XP_002456106.2	8060145	2.2	high mobility group B protein 14 [Sorghum bicolor]
XP_021313661.1	8060488	2.5	E3 ubiquitin protein ligase DRIP2 [Sorghum bicolor]
XP_002447360.2	8055451	3	nudix hydrolase 26, chloroplastic [Sorghum bicolor]
XP_021301664.1	8063419	3.1	protein ETHYLENE-INSENSITIVE 2 isoform X6 [Sorghum bicolor]
XP_021301649.1	8063419	3.2	protein ETHYLENE-INSENSITIVE 2 isoform X5 [Sorghum bicolor]
XP_021301655.1	8063419	3.2	protein ETHYLENE-INSENSITIVE 2 isoform X5 [Sorghum bicolor]
XP_021301660.1	8063419	3.2	protein ETHYLENE-INSENSITIVE 2 isoform X5 [Sorghum bicolor]
XP_021301646.1	8063419	3.4	protein ETHYLENE-INSENSITIVE 2 isoform X4 [Sorghum bicolor]
XP_002460937.2	8058368	3.6	uncharacterized protein LOC8058368 [Sorghum bicolor]
XP_021301642.1	8063419	3.8	protein ETHYLENE-INSENSITIVE 2 isoform X3 [Sorghum bicolor]
